,Timestamp_cubic,Vazao,Vazao_bbr,Atraso(ms),Hop_count,Bottleneck
0,1705398727,582965026.0,920966925.0,42.03,7,100.0
1,1705428255,512808579.0,927833308.0,38.97,9,100.0
2,1705487394,492011766.0,928832336.0,40.63,9,100.0
3,1705500661,504733824.0,,45.93,9,100.0
4,1705582751,576248172.0,920475182.0,21.13,7,100.0
5,1705595044,319399842.0,914574799.0,30.9,7,100.0
6,1705604522,,914574799.0,32.71,7,100.0
7,1705632164,,921963905.0,42.64,9,100.0
8,1705741383,588105000.0,911324737.0,34.67,7,100.0
9,1705771540,551404666.0,,20.91,7,100.0
10,1705780491,538290648.0,920563709.0,29.97,7,100.0
11,1705795481,585202783.0,901203780.0,30.89,7,100.0
12,1705841847,,917011920.0,29.33,7,100.0
13,1705848273,537546313.0,,29.33,7,100.0
14,1705933048,,929461344.0,29.3,7,100.0
15,1705997000,420061518.0,916349375.0,37.29,7,100.0
16,1706006484,321126127.0,916349375.0,46.13,9,100.0
17,1706023987,142075764.0,864661562.0,28.57,7,100.0
18,1706039993,,864661562.0,33.26,7,100.0
19,1706053597,263248782.0,904297639.0,28.97,7,100.0
20,1706099282,281806096.0,882224402.0,35.44,7,100.0
21,1706110342,465734390.0,882224402.0,28.22,7,100.0
22,1706122838,142876653.0,897894012.0,33.36,7,100.0
23,1706180116,469456565.0,913522699.0,31.78,7,100.0
24,1706193195,,913522699.0,36.15,7,100.0
25,1706267262,293077651.0,873330801.0,36.61,7,3.0
26,1706278784,,873330801.0,28.65,7,100.0
27,1706282957,,890032510.0,38.48,7,100.0
28,1706300213,267495381.0,898314969.0,36.29,7,100.0
29,1706312681,239398296.0,898314969.0,37.17,7,100.0
30,1706330352,385613874.0,916727392.0,36.98,7,100.0
31,1706334080,542013155.0,916727392.0,36.11,7,100.0
32,1706356037,330147320.0,915516603.0,36.41,7,100.0
33,1706363340,508104919.0,,35.34,7,100.0
34,1706397693,395269015.0,914043333.0,38.78,7,100.0
35,1706408724,480834797.0,914043333.0,37.97,7,100.0
36,1706439760,546518303.0,931292634.0,18.91,5,10.0
37,1706490112,555640061.0,834199516.0,18.47,5,10.0
38,1706534375,229062034.0,873674353.0,18.45,5,10.0
39,1706562263,166259899.0,859752330.0,38.87,7,100.0
40,1706777477,428978017.0,915760708.0,23.44,7,100.0
41,1706792946,480302950.0,919370347.0,46.44,9,100.0
42,1706884170,412152382.0,927360985.0,38.03,7,100.0
43,1706905864,317043412.0,923795040.0,29.05,7,100.0
44,1706967711,514976658.0,932551951.0,49.48,9,100.0
45,1707035861,421789780.0,918974855.0,42.31,9,100.0
46,1707040933,341312153.0,918974855.0,42.59,9,100.0
47,1707068280,,918974855.0,43.15,9,100.0
48,1707082921,518163249.0,913732644.0,35.74,7,100.0
49,1707110045,587054951.0,913732644.0,31.19,7,100.0
50,1707125890,,922277372.0,30.41,7,100.0
51,1707138958,559946421.0,922277372.0,31.4,7,100.0
52,1707153463,563617798.0,927883278.0,33.42,7,100.0
53,1707174368,399613032.0,911686044.0,54.8,9,100.0
54,1707184783,400555911.0,,42.51,9,100.0
55,1707233888,346449458.0,910688073.0,42.5,9,100.0
56,1707235110,403859389.0,910688073.0,49.01,9,100.0
57,1707242997,608443988.0,,54.02,9,100.0
58,1707258032,,919184157.0,16.45,5,10.0
59,1707298590,812755565.0,925370309.0,24.87,5,10.0
60,1707314421,625787872.0,923220400.0,14.03,5,10.0
61,1707358451,604042084.0,,27.37,7,100.0
62,1707359710,,922641930.0,29.95,7,100.0
63,1707384067,,923902299.0,5.34,5,10.0
64,1707416460,544431298.0,,17.82,5,10.0
65,1707446311,309801577.0,913431541.0,17.59,5,10.0
66,1707481972,309907814.0,929599072.0,25.74,5,10.0
67,1707485612,507982008.0,929599072.0,25.24,5,10.0
68,1707503261,576987437.0,929599072.0,33.89,7,100.0
69,1707544218,571425807.0,825702203.0,35.32,7,100.0
70,1707562896,579449565.0,923276615.0,35.04,7,100.0
71,1707579751,562201320.0,923276615.0,35.55,7,100.0
72,1707648485,541493889.0,916350291.0,32.75,7,100.0
73,1707660984,,916350291.0,14.18,7,100.0
74,1707694515,583436770.0,921278689.0,35.16,7,100.0
75,1707723128,593816475.0,,34.34,7,100.0
76,1707740535,468402111.0,920861100.0,34.21,7,100.0
77,1707747186,572700108.0,,34.32,7,100.0
78,1707762200,555643868.0,921129048.0,34.28,7,100.0
79,1707783124,,916732006.0,22.89,7,100.0
80,1707817591,597741476.0,920025320.0,28.13,7,100.0
81,1707836303,729914374.0,913781463.0,8.5,5,10.0
82,1707913982,843008239.0,,15.74,5,10.0
83,1708007744,285250153.0,731436565.0,80.57,7,100.0
84,1708023311,,918503821.0,77.08,8,100.0
85,1708052161,564835574.0,921594624.0,35.08,7,100.0
86,1708171273,492943321.0,919288647.0,30.0,7,100.0
87,1709061390,53896854.0,,39.37,7,100.0
88,1709109414,544634438.0,916671739.0,33.87,7,100.0
89,1709118960,583124091.0,916671739.0,33.12,7,100.0
90,1709132959,522168808.0,916141904.0,26.65,7,100.0
91,1709375161,593450987.0,922804707.0,32.02,7,100.0
92,1709391113,,922804707.0,31.03,7,100.0
93,1709411730,571844037.0,922804707.0,32.8,7,100.0
94,1709677009,546680067.0,919498317.0,38.51,7,100.0
95,1709724263,609338020.0,923538114.0,30.31,7,100.0
96,1709736474,542593622.0,923538114.0,37.58,7,100.0
97,1709736858,601527257.0,923538114.0,37.41,7,100.0
98,1709757405,526353614.0,918512757.0,39.3,7,100.0
99,1709764382,495613587.0,918512757.0,37.98,7,100.0
100,1709789153,,917295247.0,35.45,7,100.0
101,1709797720,,917295247.0,36.02,7,100.0
102,1709809350,582857370.0,917781863.0,37.26,7,100.0
103,1709847464,479673924.0,903715677.0,38.52,7,100.0
104,1709857612,569013330.0,903715677.0,31.03,7,100.0
105,1709861184,426831737.0,903715677.0,38.88,7,100.0
106,1709862731,537405105.0,903715677.0,39.66,7,100.0
107,1709900477,464633568.0,908907812.0,41.23,7,100.0
108,1709929336,519578208.0,914425853.0,37.27,7,100.0
109,1709952087,27472818.0,,33.13,7,3.0
110,1709984138,62334692.0,917612344.0,36.68,7,3.0
111,1709996093,502638761.0,917612344.0,32.28,7,100.0
112,1710006910,574943115.0,914805610.0,26.54,7,100.0
113,1710053733,609497440.0,920963978.0,39.48,7,100.0
114,1710075401,571273549.0,918495922.0,38.56,7,100.0
115,1710085726,510504320.0,,37.53,7,100.0
116,1710100249,577354468.0,917684774.0,38.15,7,100.0
117,1710111752,520994725.0,917684774.0,32.32,7,100.0
118,1710139584,553129634.0,919653856.0,31.51,7,100.0
119,1710157061,511026387.0,915657782.0,30.18,7,100.0
120,1710184099,537350634.0,915657782.0,42.54,7,100.0
121,1710193899,,931712297.0,42.98,7,100.0
122,1710225929,609547096.0,,29.55,7,100.0
123,1710237125,618197659.0,914688028.0,31.03,7,100.0
124,1710268381,582862383.0,912944931.0,35.74,7,100.0
125,1710315017,580968625.0,915884935.0,33.46,7,100.0
126,1710333817,590351879.0,915884935.0,27.4,7,100.0
127,1710339370,549097594.0,924155081.0,28.08,7,100.0
128,1710382293,,,31.21,7,100.0
129,1710421531,571170348.0,904931696.0,31.88,7,100.0
130,1710434418,562412076.0,915211036.0,29.27,7,100.0
131,1710439379,506260839.0,915050050.0,28.95,7,100.0
132,1710516474,590146519.0,920438116.0,33.5,7,100.0
133,1710579313,357984365.0,907645343.0,39.87,9,100.0
134,1710587523,589308925.0,907645343.0,30.58,7,100.0
135,1710610709,536143180.0,917609545.0,44.59,7,100.0
136,1710615447,125357323.0,905028208.0,43.07,9,100.0
137,1710661529,,918185436.0,22.93,7,100.0
138,1710681470,412822018.0,914726234.0,34.84,9,100.0
139,1710684319,524664938.0,914726234.0,22.73,7,100.0
140,1710718677,501800900.0,916352536.0,23.2,7,100.0
141,1710742962,548415934.0,918863871.0,32.17,7,100.0
142,1710764925,594762067.0,916569768.0,30.23,7,100.0
143,1710801740,517744827.0,920126406.0,35.75,7,100.0
144,1710953806,457869245.0,919972983.0,31.7,7,100.0
145,1710977064,575885424.0,917926551.0,34.86,7,100.0
146,1711009929,436892563.0,918394968.0,32.74,7,100.0
147,1711020431,584851443.0,918394968.0,33.04,7,100.0
148,1711057587,434268515.0,916459639.0,33.38,7,100.0
149,1711068519,532685936.0,924379293.0,20.62,7,100.0
150,1711100226,6920267.0,852758312.0,26.42,7,3.0
151,1711147455,560630392.0,918648155.0,26.04,7,100.0
