Method,File,Column,RMSE
knn,df_ac.csv,Vazao,77989749.78534597
knn,df_ac.csv,Vazao_bbr,34445016.95931231
knn,df_am.csv,Vazao,151114417.95092794
knn,df_am.csv,Vazao_bbr,41535632.13483425
knn,df_ap.csv,Vazao,94516262.35849011
knn,df_ap.csv,Vazao_bbr,42603333.30102235
knn,df_ba.csv,Vazao,224517563.91609257
knn,df_ba.csv,Vazao_bbr,281629321.1071387
knn,df_ce.csv,Vazao,71415017.48754998
knn,df_ce.csv,Vazao_bbr,31995109.83002985
knn,df_es.csv,Vazao,66007906.56692482
knn,df_es.csv,Vazao_bbr,30552634.532325752
knn,df_go.csv,Vazao,93245360.09306943
knn,df_go.csv,Vazao_bbr,29971628.219401926
knn,df_ma.csv,Vazao,81972874.52173863
knn,df_ma.csv,Vazao_bbr,37055791.38379382
knn,df_mg.csv,Vazao,228483375.66063848
knn,df_mg.csv,Vazao_bbr,408438461.1508811
knn,df_ms.csv,Vazao,77404595.59753512
knn,df_ms.csv,Vazao_bbr,26024477.475822967
knn,df_mt.csv,Vazao,67424441.88225338
knn,df_mt.csv,Vazao_bbr,34316016.440963216
knn,df_pa.csv,Vazao,447222878.7331662
knn,df_pa.csv,Vazao_bbr,482116724.75239813
knn,df_pb.csv,Vazao,89873103.74818094
knn,df_pb.csv,Vazao_bbr,32883977.25849163
knn,df_pi.csv,Vazao,80727243.99804448
knn,df_pi.csv,Vazao_bbr,32597376.610975765
knn,df_pr.csv,Vazao,211015070.8175724
knn,df_pr.csv,Vazao_bbr,391578932.0118535
knn,df_rj.csv,Vazao,659100581.9020593
knn,df_rj.csv,Vazao_bbr,565580247.251676
knn,df_rn.csv,Vazao,80348545.28994179
knn,df_rn.csv,Vazao_bbr,43451308.883014254
knn,df_ro.csv,Vazao,73219684.22152042
knn,df_ro.csv,Vazao_bbr,28504042.062912595
knn,df_rr.csv,Vazao,105247731.92868444
knn,df_rr.csv,Vazao_bbr,77760148.48776123
knn,df_rs.csv,Vazao,199971662.93222383
knn,df_rs.csv,Vazao_bbr,262904669.4335309
knn,df_sc.csv,Vazao,520881714.02214724
knn,df_sc.csv,Vazao_bbr,550411584.2641082
knn,df_se.csv,Vazao,124172671.21893995
knn,df_se.csv,Vazao_bbr,39799257.683595926
knn,df_sp.csv,Vazao,497857617.7071987
knn,df_sp.csv,Vazao_bbr,494795346.61930454
knn,df_to.csv,Vazao,87574408.54029846
knn,df_to.csv,Vazao_bbr,41886103.856909245
regression,df_ac.csv,Vazao,86065420.27247712
regression,df_ac.csv,Vazao_bbr,33990074.13286708
regression,df_am.csv,Vazao,136970911.87270445
regression,df_am.csv,Vazao_bbr,41799776.88157697
regression,df_ap.csv,Vazao,89465154.52060018
regression,df_ap.csv,Vazao_bbr,42180448.064192735
regression,df_ba.csv,Vazao,253481783.38825196
regression,df_ba.csv,Vazao_bbr,342281947.34469336
regression,df_ce.csv,Vazao,70806445.43145974
regression,df_ce.csv,Vazao_bbr,31556528.08535954
regression,df_es.csv,Vazao,65204157.953798905
regression,df_es.csv,Vazao_bbr,28629190.752693113
regression,df_go.csv,Vazao,92673327.68611337
regression,df_go.csv,Vazao_bbr,29627701.80814685
regression,df_ma.csv,Vazao,81631837.37223582
